46.16	71.03	48.98	8	1.00	0.01
54.78	44.70	77.33	8	1.00	0.02
57.07	45.97	80.77	8	1.00	0.03
58.16	46.77	81.91	8	1.00	0.04
58.90	47.35	83.19	8	1.00	0.05
58.59	47.16	82.67	8	1.00	0.06
58.42	46.91	82.86	8	1.00	0.07
58.80	47.06	83.61	8	1.00	0.08
58.85	47.05	84.01	8	1.00	0.09
45.61	70.63	48.42	8	1.50	0.01
54.80	44.68	77.46	8	1.50	0.02
57.06	46.16	80.28	8	1.50	0.03
57.86	46.62	81.75	8	1.50	0.04
57.92	46.75	81.65	8	1.50	0.05
58.80	47.43	82.88	8	1.50	0.06
59.16	47.58	83.60	8	1.50	0.07
58.61	46.86	83.85	8	1.50	0.08
58.28	46.49	83.77	8	1.50	0.09
46.34	71.25	49.07	8	2.00	0.01
54.19	44.20	76.45	8	2.00	0.02
56.84	45.95	80.13	8	2.00	0.03
57.67	46.64	80.82	8	2.00	0.04
57.65	46.36	81.50	8	2.00	0.05
57.74	46.28	82.27	8	2.00	0.06
57.70	46.16	82.54	8	2.00	0.07
57.84	46.22	82.67	8	2.00	0.08
57.66	46.01	82.77	8	2.00	0.09
46.22	71.08	49.26	8	2.50	0.01
55.35	45.36	77.47	8	2.50	0.02
58.32	47.59	81.06	8	2.50	0.03
59.75	48.64	82.99	8	2.50	0.04
59.46	48.16	83.21	8	2.50	0.05
58.65	47.14	82.81	8	2.50	0.06
59.03	47.41	83.45	8	2.50	0.07
58.78	47.21	83.24	8	2.50	0.08
58.48	46.80	83.37	8	2.50	0.09
46.26	71.23	48.84	8	3.00	0.01
55.85	45.79	77.99	8	3.00	0.02
58.33	47.50	81.28	8	3.00	0.03
58.71	47.64	81.97	8	3.00	0.04
59.17	48.04	82.40	8	3.00	0.05
58.64	47.24	82.61	8	3.00	0.06
58.67	47.28	82.74	8	3.00	0.07
58.52	47.05	82.84	8	3.00	0.08
58.36	46.77	83.12	8	3.00	0.09
46.28	71.23	48.90	8	3.50	0.01
54.74	45.03	76.33	8	3.50	0.02
57.87	47.42	80.27	8	3.50	0.03
57.96	47.19	80.64	8	3.50	0.04
58.14	46.91	81.74	8	3.50	0.05
58.04	46.77	81.88	8	3.50	0.06
57.81	46.54	81.62	8	3.50	0.07
57.70	46.28	81.80	8	3.50	0.08
57.39	45.95	81.70	8	3.50	0.09
46.23	71.26	48.62	8	4.00	0.01
54.04	44.62	74.94	8	4.00	0.02
57.37	46.88	79.60	8	4.00	0.03
57.74	46.89	80.40	8	4.00	0.04
57.77	46.71	80.94	8	4.00	0.05
57.50	46.39	80.82	8	4.00	0.06
57.81	46.64	81.23	8	4.00	0.07
57.46	46.13	81.36	8	4.00	0.08
56.75	45.41	80.88	8	4.00	0.09
46.08	71.19	48.32	8	4.50	0.01
55.16	45.85	75.75	8	4.50	0.02
59.25	48.62	81.43	8	4.50	0.03
59.47	48.77	81.52	8	4.50	0.04
59.08	48.00	82.18	8	4.50	0.05
58.99	47.83	82.25	8	4.50	0.06
